skill,city,sector,mention_count,week_over_week_change,month_over_month_change,direction,gov_training_seats,gov_courses,has_gov_course,snapshot_date
Legacy COBOL,Vadodara,All,375,-7,-27,declining,0,[],f,2026-03-06 03:15:31.530626+00
Hardware Troubleshooting,Jaipur,All,375,-4,-26,declining,0,[],f,2026-03-06 03:15:31.490016+00
Print Media Design,Mysuru,All,374,-8,-40,declining,0,[],f,2026-03-06 03:15:31.602829+00
Basic Excel,Pune,All,373,-10,-47,declining,0,[],f,2026-03-06 03:15:31.436278+00
Cold Calling,Coimbatore,All,373,-22,-72,declining,0,[],f,2026-03-06 03:15:31.477488+00
Print Media Design,Chandigarh,All,373,-11,-43,declining,0,[],f,2026-03-06 03:15:31.560978+00
Cloud Computing (AWS),Raipur,All,373,30,93,rising,3643,"[{""url"": ""https://nptel.ac.in"", ""name"": ""Cloud Computing (AWS) Basics"", ""provider"": ""NPTEL""}]",t,2026-03-06 03:15:31.690968+00
UI/UX Design,Coimbatore,All,372,19,57,rising,4429,"[{""url"": ""https://nptel.ac.in"", ""name"": ""UI/UX Design Basics"", ""provider"": ""NPTEL""}]",t,2026-03-06 03:15:31.474545+00
Hardware Troubleshooting,Raipur,All,372,-9,-31,declining,0,[],f,2026-03-06 03:15:31.699329+00
PHP Development,Ahmedabad,All,372,-9,-44,declining,0,[],f,2026-03-06 03:15:31.446707+00
Product Management,Nashik,All,372,13,48,rising,0,[],f,2026-03-06 03:15:31.495437+00
Product Management,Jaipur,All,371,18,53,rising,0,[],f,2026-03-06 03:15:31.48529+00
Dreamweaver,Jodhpur,All,371,-3,-18,declining,0,[],f,2026-03-06 03:15:31.637206+00
Copy Typing,Jodhpur,All,371,-29,-99,declining,0,[],f,2026-03-06 03:15:31.633648+00
UI/UX Design,Ahmedabad,All,370,10,48,rising,2730,"[{""url"": ""https://nptel.ac.in"", ""name"": ""UI/UX Design Basics"", ""provider"": ""NPTEL""}]",t,2026-03-06 03:15:31.444254+00
Telemarketing,Rajkot,All,370,-24,-86,declining,0,[],f,2026-03-06 03:15:31.624571+00
UI/UX Design,Thiruvananthapuram,All,370,20,58,rising,4305,"[{""url"": ""https://nptel.ac.in"", ""name"": ""UI/UX Design Basics"", ""provider"": ""NPTEL""}]",t,2026-03-06 03:15:31.588141+00
Telemarketing,Jodhpur,All,370,-20,-82,declining,0,[],f,2026-03-06 03:15:31.634983+00
Computer Vision,Raipur,All,369,23,78,rising,0,[],f,2026-03-06 03:15:31.691719+00
Tally Accounting,Chennai,All,369,-8,-38,declining,0,[],f,2026-03-06 03:15:31.41632+00
Data Entry,Agra,All,369,-25,-80,declining,0,[],f,2026-03-06 03:15:31.71658+00
Cybersecurity,Rajkot,All,368,22,90,rising,2947,"[{""url"": ""https://nptel.ac.in"", ""name"": ""Cybersecurity Basics"", ""provider"": ""NPTEL""}]",t,2026-03-06 03:15:31.618509+00
Agile/Scrum,Nagpur,All,367,14,44,rising,2882,"[{""url"": ""https://nptel.ac.in"", ""name"": ""Agile/Scrum Basics"", ""provider"": ""NPTEL""}]",t,2026-03-06 03:15:31.454825+00
Blockchain,Nagpur,All,367,15,40,rising,0,[],f,2026-03-06 03:15:31.455316+00
Voice Support,Jodhpur,All,367,-28,-105,declining,0,[],f,2026-03-06 03:15:31.631819+00
LLM Fine-Tuning,Jaipur,All,367,26,104,rising,0,[],f,2026-03-06 03:15:31.482382+00
Natural Language Processing,Madurai,All,367,40,128,rising,0,[],f,2026-03-06 03:15:31.608587+00
Prompt Engineering,Madurai,All,367,41,146,rising,0,[],f,2026-03-06 03:15:31.60557+00
Tally Accounting,Hubli,All,367,-11,-41,declining,0,[],f,2026-03-06 03:15:31.675515+00
Data Engineering,Madurai,All,367,23,83,rising,1826,"[{""url"": ""https://nptel.ac.in"", ""name"": ""Data Engineering Basics"", ""provider"": ""NPTEL""}]",t,2026-03-06 03:15:31.608837+00
AI Quality Review,Patna,All,365,36,131,rising,0,[],f,2026-03-06 03:15:31.542835+00
DevOps/CI-CD,Mangaluru,All,365,17,67,rising,634,"[{""url"": ""https://nptel.ac.in"", ""name"": ""DevOps/CI-CD Basics"", ""provider"": ""NPTEL""}]",t,2026-03-06 03:15:31.660505+00
Desktop Publishing,Patna,All,365,-17,-59,declining,0,[],f,2026-03-06 03:15:31.550907+00
Manual Bookkeeping,Mangaluru,All,365,-20,-60,declining,0,[],f,2026-03-06 03:15:31.666032+00
Copy Typing,Mysuru,All,365,-23,-93,declining,0,[],f,2026-03-06 03:15:31.602009+00
VB.NET,Kochi,All,365,-9,-36,declining,0,[],f,2026-03-06 03:15:31.5733+00
Filing/Clerical,Siliguri,All,365,-15,-62,declining,0,[],f,2026-03-06 03:15:31.751108+00
Cybersecurity,Bhopal,All,364,28,96,rising,867,"[{""url"": ""https://nptel.ac.in"", ""name"": ""Cybersecurity Basics"", ""provider"": ""NPTEL""}]",t,2026-03-06 03:15:31.513942+00
Computer Vision,Jabalpur,All,364,22,77,rising,0,[],f,2026-03-06 03:15:31.733433+00
DevOps/CI-CD,Hyderabad,All,364,22,72,rising,2999,"[{""url"": ""https://nptel.ac.in"", ""name"": ""DevOps/CI-CD Basics"", ""provider"": ""NPTEL""}]",t,2026-03-06 03:15:31.401908+00
Blockchain,Chennai,All,364,6,31,rising,0,[],f,2026-03-06 03:15:31.414974+00
Telemarketing,Jabalpur,All,364,-24,-86,declining,0,[],f,2026-03-06 03:15:31.74047+00
Shorthand,Jaipur,All,363,-25,-100,declining,0,[],f,2026-03-06 03:15:31.490525+00
Dreamweaver,Bangalore,All,363,-9,-24,declining,0,[],f,2026-03-06 03:15:31.399915+00
Agile/Scrum,Madurai,All,363,14,44,rising,1425,"[{""url"": ""https://nptel.ac.in"", ""name"": ""Agile/Scrum Basics"", ""provider"": ""NPTEL""}]",t,2026-03-06 03:15:31.610155+00
Legacy COBOL,Nagpur,All,363,-3,-23,declining,0,[],f,2026-03-06 03:15:31.458996+00
Network Cabling,Jaipur,All,363,-11,-28,declining,0,[],f,2026-03-06 03:15:31.490282+00
Shorthand,Madurai,All,362,-30,-105,declining,0,[],f,2026-03-06 03:15:31.615219+00
Desktop Publishing,Pune,All,362,-16,-58,declining,0,[],f,2026-03-06 03:15:31.438249+00
Prompt Engineering,Indore,All,362,47,152,rising,0,[],f,2026-03-06 03:15:31.460682+00
Python for Data,Madurai,All,361,30,103,rising,2314,"[{""url"": ""https://nptel.ac.in"", ""name"": ""Python for Data Basics"", ""provider"": ""NPTEL""}]",t,2026-03-06 03:15:31.606085+00
React/Next.js,Visakhapatnam,All,360,15,60,rising,1994,"[{""url"": ""https://nptel.ac.in"", ""name"": ""React/Next.js Basics"", ""provider"": ""NPTEL""}]",t,2026-03-06 03:15:31.575796+00
Natural Language Processing,Pune,All,360,36,124,rising,0,[],f,2026-03-06 03:15:31.433125+00
Network Cabling,Kolkata,All,359,-12,-29,declining,0,[],f,2026-03-06 03:15:31.429315+00
Desktop Publishing,Surat,All,358,-20,-62,declining,0,[],f,2026-03-06 03:15:31.540286+00
Product Management,Patna,All,358,10,45,rising,0,[],f,2026-03-06 03:15:31.54693+00
Cybersecurity,Mysuru,All,357,26,94,rising,1766,"[{""url"": ""https://nptel.ac.in"", ""name"": ""Cybersecurity Basics"", ""provider"": ""NPTEL""}]",t,2026-03-06 03:15:31.597195+00
Basic Excel,Jodhpur,All,357,-11,-48,declining,0,[],f,2026-03-06 03:15:31.632596+00
Print Media Design,Varanasi,All,356,-16,-48,declining,0,[],f,2026-03-06 03:15:31.729377+00
Basic Excel,Hubli,All,356,-10,-47,declining,0,[],f,2026-03-06 03:15:31.675268+00
Voice Support,Delhi,All,355,-32,-109,declining,0,[],f,2026-03-06 03:15:31.384922+00
Shorthand,Indore,All,355,-28,-103,declining,0,[],f,2026-03-06 03:15:31.470168+00
Salesforce,Visakhapatnam,All,355,6,34,rising,3461,"[{""url"": ""https://nptel.ac.in"", ""name"": ""Salesforce Basics"", ""provider"": ""NPTEL""}]",t,2026-03-06 03:15:31.578421+00
Agile/Scrum,Lucknow,All,355,15,45,rising,1754,"[{""url"": ""https://nptel.ac.in"", ""name"": ""Agile/Scrum Basics"", ""provider"": ""NPTEL""}]",t,2026-03-06 03:15:31.505799+00
Filing/Clerical,Indore,All,355,-24,-71,declining,0,[],f,2026-03-06 03:15:31.469164+00
Data Engineering,Chandigarh,All,354,28,88,rising,4532,"[{""url"": ""https://nptel.ac.in"", ""name"": ""Data Engineering Basics"", ""provider"": ""NPTEL""}]",t,2026-03-06 03:15:31.556365+00
Python for Data,Hyderabad,All,354,25,98,rising,248,"[{""url"": ""https://nptel.ac.in"", ""name"": ""Python for Data Basics"", ""provider"": ""NPTEL""}]",t,2026-03-06 03:15:31.400664+00
Network Cabling,Agra,All,354,-10,-27,declining,0,[],f,2026-03-06 03:15:31.720396+00
DevOps/CI-CD,Jaipur,All,354,23,73,rising,2281,"[{""url"": ""https://nptel.ac.in"", ""name"": ""DevOps/CI-CD Basics"", ""provider"": ""NPTEL""}]",t,2026-03-06 03:15:31.482877+00
Tableau/Power BI,Ranchi,All,352,14,54,rising,3576,"[{""url"": ""https://nptel.ac.in"", ""name"": ""Tableau/Power BI Basics"", ""provider"": ""NPTEL""}]",t,2026-03-06 03:15:31.641188+00
Copy Typing,Patna,All,351,-25,-95,declining,0,[],f,2026-03-06 03:15:31.549901+00
Salesforce,Delhi,All,351,6,34,rising,2458,"[{""url"": ""https://nptel.ac.in"", ""name"": ""Salesforce Basics"", ""provider"": ""NPTEL""}]",t,2026-03-06 03:15:31.384423+00
LLM Fine-Tuning,Nagpur,All,351,36,114,rising,0,[],f,2026-03-06 03:15:31.45184+00
UI/UX Design,Bhopal,All,351,19,57,rising,3590,"[{""url"": ""https://nptel.ac.in"", ""name"": ""UI/UX Design Basics"", ""provider"": ""NPTEL""}]",t,2026-03-06 03:15:31.515436+00
Desktop Publishing,Mumbai,All,351,-16,-58,declining,0,[],f,2026-03-06 03:15:31.377029+00
Manual Bookkeeping,Raipur,All,350,-11,-51,declining,0,[],f,2026-03-06 03:15:31.697429+00
Voice Support,Madurai,All,350,-29,-106,declining,0,[],f,2026-03-06 03:15:31.610906+00
Traditional SEO,Bhopal,All,350,-12,-37,declining,0,[],f,2026-03-06 03:15:31.518894+00
Hardware Troubleshooting,Thiruvananthapuram,All,350,-6,-28,declining,0,[],f,2026-03-06 03:15:31.593641+00
Manual Testing,Thiruvananthapuram,All,349,-19,-64,declining,0,[],f,2026-03-06 03:15:31.589889+00
Manual Bookkeeping,Surat,All,349,-12,-52,declining,0,[],f,2026-03-06 03:15:31.539538+00
Tally Accounting,Mysuru,All,349,-15,-45,declining,0,[],f,2026-03-06 03:15:31.601199+00
Data Entry,Kolkata,All,348,-23,-78,declining,0,[],f,2026-03-06 03:15:31.425634+00
LLM Fine-Tuning,Chennai,All,347,27,105,rising,0,[],f,2026-03-06 03:15:31.411475+00
Tableau/Power BI,Dehradun,All,347,17,57,rising,4032,"[{""url"": ""https://nptel.ac.in"", ""name"": ""Tableau/Power BI Basics"", ""provider"": ""NPTEL""}]",t,2026-03-06 03:15:31.651674+00
Legacy COBOL,Agra,All,347,-3,-23,declining,0,[],f,2026-03-06 03:15:31.719886+00
React/Next.js,Nagpur,All,346,16,61,rising,3430,"[{""url"": ""https://nptel.ac.in"", ""name"": ""React/Next.js Basics"", ""provider"": ""NPTEL""}]",t,2026-03-06 03:15:31.452559+00
Cloud Computing (AWS),Madurai,All,346,29,92,rising,1956,"[{""url"": ""https://nptel.ac.in"", ""name"": ""Cloud Computing (AWS) Basics"", ""provider"": ""NPTEL""}]",t,2026-03-06 03:15:31.606344+00
Prompt Engineering,Mumbai,All,346,37,142,rising,0,[],f,2026-03-06 03:15:31.36874+00
Basic Excel,Agra,All,346,-11,-48,declining,0,[],f,2026-03-06 03:15:31.717085+00
Natural Language Processing,Jabalpur,All,346,38,126,rising,0,[],f,2026-03-06 03:15:31.734843+00
Prompt Engineering,Lucknow,All,346,37,142,rising,0,[],f,2026-03-06 03:15:31.501363+00
Cold Calling,Tiruchirappalli,All,345,-24,-74,declining,0,[],f,2026-03-06 03:15:31.686443+00
Hardware Troubleshooting,Patna,All,345,-4,-26,declining,0,[],f,2026-03-06 03:15:31.551929+00
Print Media Design,Bhopal,All,344,-12,-44,declining,0,[],f,2026-03-06 03:15:31.519129+00
Data Engineering,Surat,All,344,26,86,rising,2788,"[{""url"": ""https://nptel.ac.in"", ""name"": ""Data Engineering Basics"", ""provider"": ""NPTEL""}]",t,2026-03-06 03:15:31.53534+00
VB.NET,Vadodara,All,344,-7,-34,declining,0,[],f,2026-03-06 03:15:31.531735+00
Blockchain,Ranchi,All,344,5,30,rising,0,[],f,2026-03-06 03:15:31.642501+00
Print Media Design,Vadodara,All,344,-15,-47,declining,0,[],f,2026-03-06 03:15:31.52953+00
Cold Calling,Ahmedabad,All,344,-25,-75,declining,0,[],f,2026-03-06 03:15:31.446959+00
Product Management,Varanasi,All,343,13,48,rising,0,[],f,2026-03-06 03:15:31.725758+00
Legacy COBOL,Siliguri,All,343,-13,-33,declining,0,[],f,2026-03-06 03:15:31.751528+00
LLM Fine-Tuning,Mumbai,All,343,26,104,rising,0,[],f,2026-03-06 03:15:31.370156+00
AI Quality Review,Hubli,All,343,37,132,rising,0,[],f,2026-03-06 03:15:31.669327+00
Prompt Engineering,Surat,All,343,40,145,rising,0,[],f,2026-03-06 03:15:31.532282+00
Machine Learning,Thiruvananthapuram,All,342,29,114,rising,4954,"[{""url"": ""https://nptel.ac.in"", ""name"": ""Machine Learning Basics"", ""provider"": ""NPTEL""}]",t,2026-03-06 03:15:31.585293+00
DevOps/CI-CD,Indore,All,342,24,74,rising,4118,"[{""url"": ""https://nptel.ac.in"", ""name"": ""DevOps/CI-CD Basics"", ""provider"": ""NPTEL""}]",t,2026-03-06 03:15:31.46246+00
LLM Fine-Tuning,Jabalpur,All,342,30,108,rising,0,[],f,2026-03-06 03:15:31.73319+00
Computer Vision,Mangaluru,All,341,22,77,rising,0,[],f,2026-03-06 03:15:31.660251+00
AI Quality Review,Ranchi,All,341,34,129,rising,0,[],f,2026-03-06 03:15:31.637776+00
Cloud Computing (AWS),Bangalore,All,340,25,88,rising,438,"[{""url"": ""https://nptel.ac.in"", ""name"": ""Cloud Computing (AWS) Basics"", ""provider"": ""NPTEL""}]",t,2026-03-06 03:15:31.390719+00
React/Next.js,Ahmedabad,All,340,16,61,rising,3858,"[{""url"": ""https://nptel.ac.in"", ""name"": ""React/Next.js Basics"", ""provider"": ""NPTEL""}]",t,2026-03-06 03:15:31.442509+00
Cybersecurity,Nagpur,All,340,22,90,rising,197,"[{""url"": ""https://nptel.ac.in"", ""name"": ""Cybersecurity Basics"", ""provider"": ""NPTEL""}]",t,2026-03-06 03:15:31.452802+00
Natural Language Processing,Vadodara,All,339,40,128,rising,0,[],f,2026-03-06 03:15:31.52447+00
Shorthand,Chennai,All,339,-26,-101,declining,0,[],f,2026-03-06 03:15:31.419566+00
Manual Testing,Ranchi,All,339,-23,-68,declining,0,[],f,2026-03-06 03:15:31.643312+00
Telemarketing,Siliguri,All,338,-27,-89,declining,0,[],f,2026-03-06 03:15:31.750857+00
Python for Data,Jodhpur,All,338,26,99,rising,461,"[{""url"": ""https://nptel.ac.in"", ""name"": ""Python for Data Basics"", ""provider"": ""NPTEL""}]",t,2026-03-06 03:15:31.627306+00
AI-assisted Content Moderation,Thiruvananthapuram,All,338,79,279,rising,0,[],f,2026-03-06 03:15:31.586866+00
Network Cabling,Dehradun,All,338,-2,-19,declining,0,[],f,2026-03-06 03:15:31.657527+00
Computer Vision,Tiruchirappalli,All,338,20,75,rising,0,[],f,2026-03-06 03:15:31.681274+00
Machine Learning,Nagpur,All,338,38,123,rising,2937,"[{""url"": ""https://nptel.ac.in"", ""name"": ""Machine Learning Basics"", ""provider"": ""NPTEL""}]",t,2026-03-06 03:15:31.451605+00
Cloud Computing (AWS),Tiruchirappalli,All,338,22,85,rising,4333,"[{""url"": ""https://nptel.ac.in"", ""name"": ""Cloud Computing (AWS) Basics"", ""provider"": ""NPTEL""}]",t,2026-03-06 03:15:31.680341+00
Print Media Design,Ranchi,All,338,-8,-40,declining,0,[],f,2026-03-06 03:15:31.64545+00
Tally Accounting,Mumbai,All,337,-16,-46,declining,0,[],f,2026-03-06 03:15:31.37519+00
Filing/Clerical,Mysuru,All,337,-18,-65,declining,0,[],f,2026-03-06 03:15:31.603616+00
AI Quality Review,Jabalpur,All,337,42,137,rising,0,[],f,2026-03-06 03:15:31.732118+00
Tableau/Power BI,Guwahati,All,336,21,61,rising,1589,"[{""url"": ""https://nptel.ac.in"", ""name"": ""Tableau/Power BI Basics"", ""provider"": ""NPTEL""}]",t,2026-03-06 03:15:31.704248+00
Telemarketing,Kolkata,All,336,-21,-83,declining,0,[],f,2026-03-06 03:15:31.428328+00
Computer Vision,Lucknow,All,336,17,72,rising,0,[],f,2026-03-06 03:15:31.503094+00
Data Entry,Vadodara,All,336,-25,-80,declining,0,[],f,2026-03-06 03:15:31.527066+00
LLM Fine-Tuning,Surat,All,336,26,104,rising,0,[],f,2026-03-06 03:15:31.533543+00
Cold Calling,Ranchi,All,335,-16,-66,declining,0,[],f,2026-03-06 03:15:31.644315+00
VB.NET,Tiruchirappalli,All,335,-6,-33,declining,0,[],f,2026-03-06 03:15:31.689671+00
Network Cabling,Chandigarh,All,335,-4,-21,declining,0,[],f,2026-03-06 03:15:31.562472+00
Cybersecurity,Raipur,All,334,23,91,rising,1438,"[{""url"": ""https://nptel.ac.in"", ""name"": ""Cybersecurity Basics"", ""provider"": ""NPTEL""}]",t,2026-03-06 03:15:31.692561+00
Cloud Computing (AWS),Mangaluru,All,333,27,90,rising,4034,"[{""url"": ""https://nptel.ac.in"", ""name"": ""Cloud Computing (AWS) Basics"", ""provider"": ""NPTEL""}]",t,2026-03-06 03:15:31.659389+00
PHP Development,Kolkata,All,333,-12,-47,declining,0,[],f,2026-03-06 03:15:31.426642+00
Telemarketing,Jaipur,All,333,-24,-86,declining,0,[],f,2026-03-06 03:15:31.489274+00
VB.NET,Thiruvananthapuram,All,333,-8,-35,declining,0,[],f,2026-03-06 03:15:31.594433+00
Hardware Troubleshooting,Vadodara,All,333,-13,-35,declining,0,[],f,2026-03-06 03:15:31.530891+00
Manual Testing,Rajkot,All,333,-19,-64,declining,0,[],f,2026-03-06 03:15:31.62195+00
AI Quality Review,Rajkot,All,332,39,134,rising,0,[],f,2026-03-06 03:15:31.616233+00
Cold Calling,Raipur,All,332,-21,-71,declining,0,[],f,2026-03-06 03:15:31.696924+00
Tally Accounting,Lucknow,All,331,-10,-40,declining,0,[],f,2026-03-06 03:15:31.507556+00
Tableau/Power BI,Lucknow,All,331,17,57,rising,3096,"[{""url"": ""https://nptel.ac.in"", ""name"": ""Tableau/Power BI Basics"", ""provider"": ""NPTEL""}]",t,2026-03-06 03:15:31.505072+00
Python for Data,Nashik,All,331,32,105,rising,612,"[{""url"": ""https://nptel.ac.in"", ""name"": ""Python for Data Basics"", ""provider"": ""NPTEL""}]",t,2026-03-06 03:15:31.491772+00
AI-assisted Content Moderation,Nagpur,All,331,83,283,rising,0,[],f,2026-03-06 03:15:31.453056+00
Manual Bookkeeping,Pune,All,330,-16,-56,declining,0,[],f,2026-03-06 03:15:31.437517+00
Prompt Engineering,Jaipur,All,330,44,149,rising,0,[],f,2026-03-06 03:15:31.4811+00
Python for Data,Hubli,All,330,27,100,rising,3523,"[{""url"": ""https://nptel.ac.in"", ""name"": ""Python for Data Basics"", ""provider"": ""NPTEL""}]",t,2026-03-06 03:15:31.669581+00
Cold Calling,Hyderabad,All,329,-25,-75,declining,0,[],f,2026-03-06 03:15:31.406568+00
LLM Fine-Tuning,Lucknow,All,329,33,111,rising,0,[],f,2026-03-06 03:15:31.502828+00
Cybersecurity,Ranchi,All,329,22,90,rising,978,"[{""url"": ""https://nptel.ac.in"", ""name"": ""Cybersecurity Basics"", ""provider"": ""NPTEL""}]",t,2026-03-06 03:15:31.639904+00
Blockchain,Lucknow,All,328,9,34,rising,0,[],f,2026-03-06 03:15:31.506302+00
Product Management,Kolkata,All,328,9,44,rising,0,[],f,2026-03-06 03:15:31.424256+00
Computer Vision,Hyderabad,All,328,22,77,rising,0,[],f,2026-03-06 03:15:31.40166+00
Salesforce,Agra,All,328,10,38,rising,1450,"[{""url"": ""https://nptel.ac.in"", ""name"": ""Salesforce Basics"", ""provider"": ""NPTEL""}]",t,2026-03-06 03:15:31.715769+00
Hardware Troubleshooting,Dehradun,All,327,-9,-31,declining,0,[],f,2026-03-06 03:15:31.657243+00
Hardware Troubleshooting,Chandigarh,All,327,-6,-28,declining,0,[],f,2026-03-06 03:15:31.562228+00
Traditional SEO,Mumbai,All,326,-14,-39,declining,0,[],f,2026-03-06 03:15:31.376473+00
Machine Learning,Jaipur,All,326,34,119,rising,3788,"[{""url"": ""https://nptel.ac.in"", ""name"": ""Machine Learning Basics"", ""provider"": ""NPTEL""}]",t,2026-03-06 03:15:31.482128+00
Python for Data,Ranchi,All,326,28,101,rising,1181,"[{""url"": ""https://nptel.ac.in"", ""name"": ""Python for Data Basics"", ""provider"": ""NPTEL""}]",t,2026-03-06 03:15:31.638044+00
Dreamweaver,Ranchi,All,326,-8,-23,declining,0,[],f,2026-03-06 03:15:31.647705+00
Voice Support,Visakhapatnam,All,324,-36,-113,declining,0,[],f,2026-03-06 03:15:31.578928+00
AI Quality Review,Agra,All,324,33,128,rising,0,[],f,2026-03-06 03:15:31.711356+00
Cybersecurity,Hubli,All,323,29,97,rising,2303,"[{""url"": ""https://nptel.ac.in"", ""name"": ""Cybersecurity Basics"", ""provider"": ""NPTEL""}]",t,2026-03-06 03:15:31.67151+00
Cloud Computing (AWS),Guwahati,All,323,26,89,rising,3335,"[{""url"": ""https://nptel.ac.in"", ""name"": ""Cloud Computing (AWS) Basics"", ""provider"": ""NPTEL""}]",t,2026-03-06 03:15:31.701365+00
Traditional SEO,Kolkata,All,323,-14,-39,declining,0,[],f,2026-03-06 03:15:31.427601+00
Salesforce,Chandigarh,All,322,12,40,rising,2226,"[{""url"": ""https://nptel.ac.in"", ""name"": ""Salesforce Basics"", ""provider"": ""NPTEL""}]",t,2026-03-06 03:15:31.557878+00
Data Entry,Hyderabad,All,322,-18,-73,declining,0,[],f,2026-03-06 03:15:31.405353+00
React/Next.js,Hubli,All,322,18,63,rising,4940,"[{""url"": ""https://nptel.ac.in"", ""name"": ""React/Next.js Basics"", ""provider"": ""NPTEL""}]",t,2026-03-06 03:15:31.671114+00
Tally Accounting,Jodhpur,All,321,-14,-44,declining,0,[],f,2026-03-06 03:15:31.632852+00
Hardware Troubleshooting,Mysuru,All,321,-13,-35,declining,0,[],f,2026-03-06 03:15:31.604288+00
Manual Testing,Mangaluru,All,320,-14,-59,declining,0,[],f,2026-03-06 03:15:31.664482+00
Manual Bookkeeping,Coimbatore,All,319,-20,-60,declining,0,[],f,2026-03-06 03:15:31.477979+00
UI/UX Design,Mangaluru,All,319,11,49,rising,4837,"[{""url"": ""https://nptel.ac.in"", ""name"": ""UI/UX Design Basics"", ""provider"": ""NPTEL""}]",t,2026-03-06 03:15:31.662685+00
Machine Learning,Agra,All,319,31,116,rising,1643,"[{""url"": ""https://nptel.ac.in"", ""name"": ""Machine Learning Basics"", ""provider"": ""NPTEL""}]",t,2026-03-06 03:15:31.712062+00
Shorthand,Rajkot,All,319,-30,-105,declining,0,[],f,2026-03-06 03:15:31.62583+00
PHP Development,Mangaluru,All,318,-14,-49,declining,0,[],f,2026-03-06 03:15:31.665267+00
LLM Fine-Tuning,Hyderabad,All,318,35,113,rising,0,[],f,2026-03-06 03:15:31.401417+00
Shorthand,Ahmedabad,All,317,-35,-110,declining,0,[],f,2026-03-06 03:15:31.449759+00
Natural Language Processing,Patna,All,317,38,126,rising,0,[],f,2026-03-06 03:15:31.545505+00
Traditional SEO,Mysuru,All,317,-10,-35,declining,0,[],f,2026-03-06 03:15:31.602561+00
Voice Support,Vadodara,All,317,-30,-107,declining,0,[],f,2026-03-06 03:15:31.526809+00
PHP Development,Varanasi,All,316,-12,-47,declining,0,[],f,2026-03-06 03:15:31.728105+00
Filing/Clerical,Bhopal,All,316,-19,-66,declining,0,[],f,2026-03-06 03:15:31.519995+00
Cold Calling,Chandigarh,All,315,-19,-69,declining,0,[],f,2026-03-06 03:15:31.559963+00
Blockchain,Hubli,All,315,14,39,rising,0,[],f,2026-03-06 03:15:31.674218+00
Desktop Publishing,Jodhpur,All,315,-18,-60,declining,0,[],f,2026-03-06 03:15:31.634746+00
DevOps/CI-CD,Ranchi,All,315,20,70,rising,1235,"[{""url"": ""https://nptel.ac.in"", ""name"": ""DevOps/CI-CD Basics"", ""provider"": ""NPTEL""}]",t,2026-03-06 03:15:31.639382+00
Basic Excel,Patna,All,314,-17,-54,declining,0,[],f,2026-03-06 03:15:31.548932+00
Cloud Computing (AWS),Thiruvananthapuram,All,314,22,85,rising,3788,"[{""url"": ""https://nptel.ac.in"", ""name"": ""Cloud Computing (AWS) Basics"", ""provider"": ""NPTEL""}]",t,2026-03-06 03:15:31.584999+00
DevOps/CI-CD,Coimbatore,All,314,21,71,rising,1617,"[{""url"": ""https://nptel.ac.in"", ""name"": ""DevOps/CI-CD Basics"", ""provider"": ""NPTEL""}]",t,2026-03-06 03:15:31.472599+00
Traditional SEO,Vadodara,All,314,-11,-36,declining,0,[],f,2026-03-06 03:15:31.529254+00
Natural Language Processing,Jodhpur,All,314,40,128,rising,0,[],f,2026-03-06 03:15:31.629554+00
Manual Testing,Ahmedabad,All,314,-15,-60,declining,0,[],f,2026-03-06 03:15:31.445968+00
Cybersecurity,Varanasi,All,313,26,94,rising,4425,"[{""url"": ""https://nptel.ac.in"", ""name"": ""Cybersecurity Basics"", ""provider"": ""NPTEL""}]",t,2026-03-06 03:15:31.723735+00
LLM Fine-Tuning,Dehradun,All,313,31,109,rising,0,[],f,2026-03-06 03:15:31.649347+00
Tally Accounting,Kochi,All,313,-8,-38,declining,0,[],f,2026-03-06 03:15:31.569675+00
Manual Bookkeeping,Delhi,All,312,-11,-51,declining,0,[],f,2026-03-06 03:15:31.386861+00
Copy Typing,Thiruvananthapuram,All,312,-29,-99,declining,0,[],f,2026-03-06 03:15:31.591479+00
Blockchain,Tiruchirappalli,All,312,9,34,rising,0,[],f,2026-03-06 03:15:31.684625+00
Kubernetes/Docker,Vadodara,All,312,20,68,rising,0,[],f,2026-03-06 03:15:31.524975+00
Voice Support,Nagpur,All,312,-29,-106,declining,0,[],f,2026-03-06 03:15:31.455555+00
Cold Calling,Patna,All,312,-21,-71,declining,0,[],f,2026-03-06 03:15:31.549664+00
AI Quality Review,Surat,All,311,41,136,rising,0,[],f,2026-03-06 03:15:31.532554+00
Cloud Computing (AWS),Mysuru,All,310,26,89,rising,4641,"[{""url"": ""https://nptel.ac.in"", ""name"": ""Cloud Computing (AWS) Basics"", ""provider"": ""NPTEL""}]",t,2026-03-06 03:15:31.595705+00
Basic Excel,Surat,All,309,-14,-51,declining,0,[],f,2026-03-06 03:15:31.538287+00
Shorthand,Lucknow,All,309,-25,-100,declining,0,[],f,2026-03-06 03:15:31.510823+00
Voice Support,Surat,All,309,-31,-108,declining,0,[],f,2026-03-06 03:15:31.537425+00
Shorthand,Surat,All,309,-27,-102,declining,0,[],f,2026-03-06 03:15:31.541778+00
Desktop Publishing,Rajkot,All,308,-22,-64,declining,0,[],f,2026-03-06 03:15:31.62433+00
Copy Typing,Chandigarh,All,308,-32,-102,declining,0,[],f,2026-03-06 03:15:31.560226+00
VB.NET,Jodhpur,All,308,-15,-42,declining,0,[],f,2026-03-06 03:15:31.636943+00
